City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
3,Grand Gaube,MU,76.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
6,Kavieng,PG,84.24,light rain,-2.5744,150.7967,Nusa Island Retreat
7,Rikitea,PF,77.58,clear sky,-23.1203,-134.9692,People ThankYou
9,Rojhan,PK,79.16,clear sky,28.6868,69.9534,Nawab Imam Bux Khan Bangla
15,Saint George,US,77.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
20,Touros,BR,80.28,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
24,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
26,Kavaratti,IN,83.32,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
35,Atuona,PF,79.18,few clouds,-9.8,-139.0333,Villa Enata
38,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
41,Arlit,NE,80.58,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
46,Merauke,ID,83.3,overcast clouds,-8.4667,140.3333,
53,Jaque,PA,80.62,light rain,7.5175,-78.1703,Aventuras Jaque S.A
54,Les Trois-Ilets,MQ,78.71,broken clouds,14.539,-61.0361,La Pagerie - Tropical Garden Hotel
57,Ngama,TD,83.97,overcast clouds,11.7833,17.1667,
59,Atambua,ID,82.04,broken clouds,-9.1061,124.8925,Kost Alfa Flat
63,Sabang,ID,82.85,overcast clouds,5.8933,95.3214,Hotel Citra
67,Butaritari,KI,81.77,light rain,3.0707,172.7902,Isles Sunset Lodge
71,Wagga Wagga,AU,75.85,clear sky,-35.1167,147.3667,The Club Motel and Apartments
78,Mitsamiouli,KM,81.9,light rain,-11.3847,43.2844,Foyer ADM
79,Sorong,ID,84.61,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
80,Aloleng,PH,83.71,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
82,Puerto Ayora,EC,76.08,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
88,Cabo San Lucas,MX,79.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
92,Dhidhdhoo,MV,84.33,overcast clouds,6.8833,73.1,Dhidhoo beach
94,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
100,Buala,SB,83.37,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
102,Jacqueville,CI,80.55,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
103,Ler,SS,77.0,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
104,Diffa,NE,83.86,few clouds,13.3154,12.6113,ProDAF/Diffa
105,Berbera,SO,81.93,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
108,Sambava,MG,77.0,moderate rain,-14.2667,50.1667,Melrose
112,Hithadhoo,MV,82.51,scattered clouds,-0.6,73.0833,Scoop Guest House
115,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
116,Victoria,HK,75.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
118,Gamba,GA,76.48,overcast clouds,-2.65,10.0,
119,Kahului,US,77.97,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
125,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
128,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
133,Maragogi,BR,79.48,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
141,Conakry,GN,76.26,clear sky,9.538,-13.6773,Riviera Royal Hotel
146,Ouegoa,NC,80.89,scattered clouds,-20.35,164.4333,
149,Takoradi,GH,78.94,light rain,4.8845,-1.7554,Raybow International Hotel
152,Tihuatlan,MX,78.51,overcast clouds,20.7167,-97.5333,Hotel Montecasino
153,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
154,Akyab,MM,84.52,scattered clouds,20.15,92.9,Hotel Memory
158,Faanui,PF,82.4,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
162,Cap Malheureux,MU,75.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
165,Pangkalanbuun,ID,76.23,light rain,-2.6833,111.6167,Grand Kecubung Hotel
168,Hilo,US,83.28,haze,19.7297,-155.09,Hilo Hawaiian Hotel
174,Tucuma,BR,76.57,overcast clouds,-0.1833,-50.05,
176,Bhiwani,IN,77.7,clear sky,28.7833,76.1333,Gaur Guest House
177,Princeton,US,76.01,broken clouds,25.5384,-80.4089,American Best Inn
179,Labuhan,ID,81.99,broken clouds,-6.8844,112.2051,DoubleFAG
180,Noumea,NC,82.38,clear sky,-22.2763,166.4572,Hôtel Le Lagon
182,Port Blair,IN,77.04,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
184,Bilma,NE,84.51,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
188,Dingle,PH,82.99,few clouds,10.9995,122.6711,SEGAYA PROPERTY
191,Bandarbeyla,SO,82.74,overcast clouds,9.4942,50.8122,JABIR HOTEL
192,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
202,Jeremie,HT,77.9,scattered clouds,18.65,-74.1167,Auberge’Inn
204,Lorengau,PG,84.94,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
205,Mackay,AU,82.69,few clouds,-21.15,149.2,International Lodge Motel
208,Kieta,PG,83.28,light rain,-6.2167,155.6333,Uruna Bay Retreat
209,Phan Thiet,VN,80.85,overcast clouds,10.9333,108.1,Hotel Saigon-PT
213,Bengkulu,ID,78.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
220,Salalah,OM,76.53,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
221,Durango,MX,76.62,few clouds,24.8333,-104.8333,
226,Bowen,AU,80.1,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
227,Isangel,VU,84.47,few clouds,-19.55,169.2667,Tanna Lodge
231,Jalingo,NG,83.07,broken clouds,8.8833,11.3667,Debright Motel
240,Alofi,NU,80.98,light rain,-19.0595,-169.9187,Taloa Heights
241,Pandan,PH,82.8,few clouds,14.0453,124.1694,Bonifacio Lodge
244,Waingapu,ID,84.85,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
245,Tecoanapa,MX,81.46,overcast clouds,16.5167,-98.75,Hotel Manglares
247,Adrar,MR,79.14,clear sky,20.5022,-10.0711,
250,Catia La Mar,VE,82.49,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
251,Libreville,GA,79.0,overcast clouds,0.3925,9.4537,Le Méridien Re-Ndama
252,Bonthe,SL,77.49,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
259,Vung Tau,VN,82.72,overcast clouds,10.346,107.0843,Seaside Resort
260,Tabuk,PH,76.3,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
261,Hobyo,SO,81.34,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
266,Alyangula,AU,80.6,light rain,-13.8483,136.4192,Groote Eylandt Lodge
276,Mildura,AU,80.08,clear sky,-34.2,142.15,Mercure Hotel Mildura
277,Tutoia,BR,78.73,overcast clouds,-2.7619,-42.2744,Pousada Guará's
278,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
280,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
282,Meulaboh,ID,78.62,broken clouds,4.1363,96.1285,Kost Pria
288,Yulara,AU,84.04,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
289,Savannah Bight,HN,80.98,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
291,Port-Gentil,GA,80.19,overcast clouds,-0.7193,8.7815,Fengshui Residence
297,Abu Dhabi,AE,81.97,clear sky,24.4667,54.3667,Beach Rotana
299,Jalu,LY,76.32,overcast clouds,29.0331,21.5482,صاحبة الفخامة
300,Nuevo Progreso,MX,79.54,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
302,Allapalli,IN,84.61,overcast clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
303,Srivardhan,IN,76.15,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
308,Kailua,US,82.38,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
311,Poum,NC,77.99,few clouds,-20.2333,164.0167,
312,Conceicao Do Araguaia,BR,75.56,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
318,San Patricio,US,79.52,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
323,Dakoro,NE,79.75,broken clouds,14.5106,6.765,Shagon mai liverpool
324,Dabhoi,IN,78.73,clear sky,22.1833,73.4333,Vivek
337,Riyadh,SA,79.9,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
342,Iralaya,HN,78.91,clear sky,15.0,-83.2333,Iglesia morava renovada
343,Monrovia,LR,79.32,overcast clouds,6.3005,-10.7969,Sunset Inn
350,Manokwari,ID,83.91,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
351,Koungou,YT,82.11,light rain,-12.7336,45.2042,Villa Netibor
353,Lutz,US,79.03,scattered clouds,28.1511,-82.4615,Paradise Lakes Resort
356,Napuro,PH,82.85,scattered clouds,12.0273,124.7082,Maria gennet DC conde
367,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
371,Sanquelim,IN,81.01,broken clouds,15.5833,74.0,Sharvaraj Eco Farm
378,Porto Novo,BJ,80.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
382,Paciran,ID,82.11,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
384,Chabahar,IR,80.17,overcast clouds,25.2919,60.643,هتل گدروشیا
390,Port Charlotte,US,79.0,few clouds,26.9762,-82.0906,Knights Inn Port Charlotte
395,Carmen,MX,81.95,clear sky,18.6333,-91.8333,Hotel Lossandes
396,Atar,MR,75.85,clear sky,20.5169,-13.0499,Oumou Elghoura
401,Esna,EG,75.69,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
409,Honiara,SB,84.87,overcast clouds,-9.4333,159.95,Heritage Park Hotel
410,West Bay,KY,80.67,clear sky,19.3667,-81.4167,Calypso Cove
412,Quelimane,MZ,75.4,clear sky,-17.8786,36.8883,Hotel Flamingo
417,Sola,VU,82.04,overcast clouds,-13.8833,167.55,Leumerus Bungalows
420,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
426,Kerewan,GM,78.28,broken clouds,13.4898,-16.0888,ADWAC Residents
427,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
430,Anahuac,MX,84.97,scattered clouds,27.2333,-100.15,HOTEL SAN FELIPE
434,Ugoofaaru,MV,84.33,overcast clouds,5.6667,73.0,Ungoofaaru Inn
436,Puerto Colombia,CO,79.59,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
440,Coahuayana,MX,75.94,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
442,Muli,MV,83.59,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
446,Piacabucu,BR,81.32,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
447,Aswan,EG,75.24,clear sky,24.0934,32.907,Nuba Nile
449,Road Town,VG,78.84,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
451,Ndele,CF,75.65,overcast clouds,8.4109,20.6473,
454,Tura,IN,75.38,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
458,Biak,ID,81.57,overcast clouds,-0.9131,122.8766,Penginapan Kim
464,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
466,Marawi,PH,78.4,broken clouds,7.9986,124.2928,Derogongan Residence
467,Satwas,IN,81.55,clear sky,22.5333,76.6833,मां नर्मदा स्टाम्प रजिस्ट्री कार्यालय
470,Padilla,CO,78.37,overcast clouds,3.2204,-76.3139,La Granadina
471,Blackwater,AU,79.48,clear sky,-23.5833,148.8833,Blackwater Motor Inn
475,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
487,Cockburn Town,TC,77.47,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
488,Sulangan,PH,82.18,scattered clouds,11.1373,123.7228,Maia's Beach Resort
493,Bhag,PK,84.87,clear sky,29.0415,67.8239,Bukhari hotl
495,San Policarpo,PH,82.94,overcast clouds,12.1791,125.5072,Agapita M. Nicart
496,Kadiri,IN,80.26,few clouds,14.1167,78.1667,Chandra's Lodge
497,Qui Nhon,VN,80.2,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
501,Khanpur,PK,79.84,clear sky,28.6453,70.6567,Ahmad Bartan store
510,Itarema,BR,77.97,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
511,Moerai,PF,80.58,few clouds,-22.4333,-151.3333,Le Manotel
515,Kloulklubed,PW,82.81,broken clouds,7.0419,134.2556,Storyboard Beach Resort
520,Banjarmasin,ID,82.94,light rain,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
522,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
524,Wanning,CN,78.85,broken clouds,18.8003,110.3967,Paradise Hotel
526,Daru,PG,76.89,heavy intensity rain,-9.0763,143.2092,Daru Lodge
527,Nhulunbuy,AU,77.61,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
531,Ayutla,MX,76.32,overcast clouds,20.1167,-104.3333,Hotel Principal
532,San Lazaro,BZ,78.21,clear sky,18.0387,-88.6622,
542,Ampanihy,MG,75.92,overcast clouds,-24.7,44.75,Angora Hotel
546,Charters Towers,AU,81.12,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
549,Samarai,PG,83.37,overcast clouds,-10.6167,150.6667,Nuli Sapi
550,Umm Kaddadah,SD,78.76,broken clouds,13.6017,26.6876,
551,Kassala,SD,84.52,few clouds,15.451,36.4,Amassi Hotel Gash
562,Saucillo,MX,82.74,overcast clouds,28.0167,-105.2833,Hotel La Posada de San Judas Tadeo
563,Gudur,IN,82.51,broken clouds,14.1333,79.85,BALAJI KITCHENS
564,Manavalakurichi,IN,81.64,overcast clouds,8.1333,77.3,Jebinrio home
565,Ligayan,PH,82.0,overcast clouds,4.6533,119.4706,
566,Tual,ID,84.18,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
567,Palauig,PH,83.3,broken clouds,15.435,119.9045,Alperi Botique Resort
576,Cienaga De Oro,CO,80.11,overcast clouds,8.8744,-75.6203,Calle 5 20- 45
583,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
588,Tiruchchendur,IN,80.89,overcast clouds,8.4833,78.1167,Hotel Udhayam International
593,Harindanga,IN,82.53,broken clouds,22.0383,88.3214,Hasanur Builders
595,Mattru,SL,76.44,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
596,Sinnamary,GF,77.9,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
598,Kudahuvadhoo,MV,83.39,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
601,Tibiri,NE,84.76,overcast clouds,13.5627,7.0485,FADA GAO FA TIBIRI
602,Portobelo,PA,82.74,overcast clouds,9.55,-79.65,Scuba Portobelo
603,Lao Cai,VN,80.08,broken clouds,22.4833,103.95,Legend Hotel
605,Omboue,GA,77.05,overcast clouds,-1.5746,9.2618,Hotel Olako
608,Flinders,AU,76.05,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
610,Dangara,IN,75.58,clear sky,29.6799,75.8931,Mirchi Hotel & Restaurant Tohana
611,Wamba,NG,76.64,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
615,Qeshm,IR,81.36,few clouds,26.9581,56.2719,Qeshm Kavan Hotel
621,Belem De Sao Francisco,BR,82.42,scattered clouds,-8.7539,-38.9658,Village Hotel
623,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
627,Wagar,SD,82.29,scattered clouds,16.1525,36.2032,
628,Caravelas,BR,75.6,light rain,-17.7125,-39.2481,Pousada dos Navegantes
634,Luanda,AO,76.64,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
635,Srandakan,ID,80.89,broken clouds,-7.9386,110.2506,Puri Brata
644,Tabou,CI,78.89,light rain,4.423,-7.3528,hotêl doufoulougou
645,Emerald,AU,79.34,clear sky,-23.5333,148.1667,The Irish Village
646,Madimba,TZ,76.64,light rain,-10.4,40.3333,
649,Rock Sound,BS,75.63,heavy intensity rain,24.9,-76.2,Pink Corral Bay Property
652,Cape Canaveral,US,76.01,scattered clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
659,Micheweni,TZ,78.89,moderate rain,-4.9667,39.8333,
661,Mandera,KE,80.49,light rain,3.9366,41.867,Hiren Hotel Mandera
675,Emiliano Zapata,MX,81.59,overcast clouds,18.8333,-99.1833,Parador De Manolos Hotel
676,Kulhudhuffushi,MV,84.24,overcast clouds,6.6221,73.07,Haajy Guest House 1
682,Kupang,ID,84.72,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
683,Gao,ML,81.81,overcast clouds,16.6362,1.637,
684,Araouane,ML,77.23,clear sky,18.9048,-3.5265,
689,Katobu,ID,82.47,moderate rain,-4.9408,122.5276,La Ode Husein
692,Montelibano,CO,80.24,overcast clouds,7.9829,-75.4229,Montelíbano Plaza Hotel
